,job_title,company,job_search,location,date_range,link
10,Database Engineer (Vector),                Dice,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3802941586/?eBP=CwEAAAGM9QkKP5YG8Qgt0YZ9KyZJle80ELN_vgFWLeiS5eWcSpdNqt8B-sXY1PIxtojNjrFPyBXjrMBCqGQp0vYUomImV-B1JQs8E4AcvIeK2YwyrplfZMe6gBDC8bkrkj3LF0zDA5Cjl9I9CaCovFPPmGvplnlcfR4qap7X5h20PJzNkTjudyahN1k-1Y95G7zaEs5YrBURd3PgGKJeaoh7JK136TeA_jBYMR5r0K2PRZmbSlhClpzXSmQkyQsmhgkPm1tcfKXgsb7Kh9rC056IwlvrAtkIYk3pn2XwJOXG2M9icQ57Kq8l2Ll0NEAt9B6WKFnXj7blbfgXlA57KCbj1tgJGOhN1Ma0xLJNrwo07OLvmuMBESNOE_2paUUINjIhXp40SFYNcpo&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=%2B9lV%2BlSan%2FyxdqWGS7cdvQ%3D%3D&trk=flagship3_search_srp_jobs
11,EDI Analyst,                Zotec Partners,SQL Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3798659447/?eBP=CwEAAAGM9QfCmzNfLx6bUGPYpnTTFabrBmboN83cELIfh7PF_IoOzaAG8pVsfJVfnUPjngjDCexvKAuLlF7bW2FzGyGGSGiCSMM3eXMoPoxHUOLOg0b7PALWqIQ8yPu4vaQUWFNeQLBX3Lm0AEzjyI5LYc6mkbFhZD6Nf4sR8fNHxIUUMW5cd4Pk_aoULDqk-55lj_oga4LZgfUdIosppXf6WDDo9RsfQun7WYNbsH8WWFWjdyGbZDLS0c58LEOd9QThFmDYQJUcRBBtdhjKCH1PWWVPAbfC71O0XLBecQQKHbLbkr8ZdD5ouum32kjg3D_v5Q7hKhk9u5AkeT2jXfdR_w&refId=W1GdaTlzmRjrBmZcghh5Bw%3D%3D&trackingId=VSX0Ttg87KSrDrxmP0SLWQ%3D%3D&trk=flagship3_search_srp_jobs
12,ETL Architect or Data Architect,                Dice,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3802129075/?eBP=CwEAAAGM9QiWuLr0iEMOgJQ1oMO6nmaAcGNgf06Y9yZG0xr48vn9CpK3m_WJ9PRcl0spoW_I-v7XOHE1y_IuFVRrdNi46xWABtiqvm9qne5lsqcOt0NmL2eQV9tm-I9KE9B5zkbB-7K2ndHT80W3Ab6qwCHdiLirwirNYQR37wuHqJMvF4eVcHYQARa0f_tN11wChv2JBFZ1KCQjb8tgLjm3YiM6TDSynyCjXQ8pTm5SLWi7MAiEunYGjWMSnGnfmIYR7awW6FXau1_iWEwpkztbdgRG-VG6wavSVVZwsHq5lCrJvhTDKLbPdFO9SwobU23OpKND7gGilQS3wlL3g6nCgYara_s5YC7lEwNy5r0CCWDhOtAqo-gW1yEv6oaRXBL4_gFhFJyZ&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=6pnbh96iRA%2BbjBL0n0u2qg%3D%3D&trk=flagship3_search_srp_jobs
13,"ETL Data Architect in Denver, CO (Day 1 Onsite)",                Dice,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3802502435/?eBP=CwEAAAGM9QiWuJR_mo0ShjFG7aN2RKNNnPcSeJ_JbJG5wYYKYdpqqdgSi8KPr5yy5PByKYYZwS6g-40IpzHGBZT11mj3F8jKmX3C0pJWi0F3MRO2a-FdLBCNt0EUyvB3wsq956och7XfX2kacb_LhYqihsITCuZvdG7_SMgraxzK1m695XMcagd5fX6d3SczkZbDIi_Hb2Nq2fDxe1uIqn1jdfikeL9VfL0-5NbFzjiUY9KUSkLrhYOx8BytgLp29PTNB__hkylF7GyMZQOHQWDtmvyXTBaOcqiGq0yZYKL5AlHXqX__GRoR8Vch5CYlPMgp0miUdBxr1UOhnNyC4IVWWz2yrlynHpYWP_S_9qgIAhi9B5qrTMUQOhlsbElGR4hVXJLUVw&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=OiGEOu8BPNbqskIFp2WW6w%3D%3D&trk=flagship3_search_srp_jobs
14,LEAD SAS Data Engineer,                Dice,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3802942326/?eBP=CwEAAAGM9QkKP7dY3c2AHo86mwDbg4CfwmPxhBwhyHivQvjL87FcQgpIhCNnJyZuJV19FFTJCAS8B0gD0jB7N_iPGODI2psxKEFRA2B3B3X6tasmX4xxX-qlBYGpx3R4RO7Q57VT_7dhO9hpmpy_uULYwgmFTdUwaMzNbHnv79XpFeXXrs_xXfS7nKdzJDwrAoaxkUM3UOzMiNXmsDmlDU1N13jF8Y6hPnIEO7lCgY1VX69RnbL5aC6PKP545LZSWWs4VT38Cu6PAE3v1SGpKxh1U8JEdEu68kgRGxnuYVRa1bzhP-eNq5OYtM54pVhR_vk2JnZT1ie4gtRb0xo3lr9Ns44AUGZvnjPT&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=LxEaZRD1EOEkh5BYNEbhvA%3D%3D&trk=flagship3_search_srp_jobs
15,ML/ NLP/ Gen AI/ Engineer/ Data Scientist/ Analytics/ Consultant,                BSL Consulting,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3802973684/?eBP=CwEAAAGM9QiWuNaC33BxSsAbanHCU881ErOLaDpy4ShfpEIyjR6hz8j3i2ARJwF1Qyee7IGJ69pPvkt4nDUWSYf46hdOZicreMFRdhoR1iY8YXgMkuMXD2kPhZtwAHKCdMowOy4RxN8ORvrQO-pZPW8oIW2dSV22nfXlVEs7aKiT1Kms6A3a8KAGt4dC8F-XBqRuaLZIXoSqsqL8dg804g43EJ-tI4gdW1VqfRtCGq4Tew4zqMHAO7Ha0--zPBDCmw7mrcH9ZuXqkXR5EwXzEbOH9I4hF410Qhu5hzToq_EQNbrKCDSaXRMo7_xMHUReiX6JjIQBWTVEPAu4LuBpdFFxLInJ8kmCm9zX-8RCHVFj1OQP9wVUSnUuGaehE--oBCieVOggdPiaImY&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=KSo%2F8DLcvAGLFc4EeWQC4Q%3D%3D&trk=flagship3_search_srp_jobs
16,"Manager, Analytics Engineer - Biopharma",                Pfizer,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3747517746/?eBP=CwEAAAGM9QkKPx8HQASa0rJZG48MH6jrsAWmndWToumD5OHa5xDfWLT7AxGM49S8Lw2Q1hLUjxv771D2PjnCOTDg-w72JSKNLvHP5PWkVMfDL1q6fPj1AziHGPOwh8k33Maww6Z4wPAYo70xGgHjvhb1iEYi-aeVGZEFlWwGk7_BZ9iTtYqTYRnpthEf0XXskaEPcWX1Bh4s5eBd2cU6X97p1awvwNs1JpkC93S5J5q_5byAgyMQtbnf97xkEcdLlv0Rz4nF_YGl1rax_DSi3SXjUeyB57fstlU2-06r3F0GdOEx5_QTrXTv9L4nziUz-YcJPfs7gJHEreb75tO5-kMiuRoEh8ZnIaTyDWipDY_fF3FWSoVLcEt7KhmpqjOYJiBgzA2GKcjI&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=e6bEsRX%2B0vtieq23HriQhQ%3D%3D&trk=flagship3_search_srp_jobs
17,MicroStrategy Engineer (Location-Remote but need only CA candidates),                Dice,Data Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3802937789/?eBP=CwEAAAGM9QginhdSHUy5ykg4P5QbcNUonIRXbY5wh2ehg16tk_QZk970UiknwPCy6UW4HapGtosRwIA2jDYjSuZfMlENOTSbSoFsU56lUb6xAQNIeWJcUhr4D2FC4Rsq8-lQeoXC8TzMDZ8Yl_Ylzwif69G_PAYlQQJCpVm8nuDKPnUi27iRCSnZmp7DHYVtlN7YLIgzWgxvs3noIT8ijgXeET-9eb6xQv5v6OCygnD6eCcdyq6MH66Ke5q8uhAt9Mn7PZ1z9t_vFBof-vk7Vu3JNmAM-NR6WB-Ksu6LfmEsjN59RJEm0XeBS90KMdILj2Fix7dcMkrEi_MTjUn-Qf8lj8E0syb-YxKhbYs9nAiurbORivkmfodtwjL0bHZ4OVk2BLmPLIHZM0euKg&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=Xxhinz4xsq2GUVi4qfYpkw%3D%3D&trk=flagship3_search_srp_jobs
18,MicroStrategy Engineer-Remote,                Dice,Data Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3802123949/?eBP=CwEAAAGM9QginlQz2kmsFS_0_ZYzVkjh5Ni8Hbdm-QpxpjzX07EvjbHjfxLfzStELpH96O7fIE-FmvJgdCSozw3O3QznyKhkwTP24P0BmzKFczHX7f6gqMuRw6jSpalnfzzWGMJdzvO_lY7vFaoszYxGZdnqmeAoSyquds6zdW-Meoc_lZD3nz08u2hZyJt6FoJZhrmgjMdd4coVhzLFqBjiRCLmU2vSGPrk2c0NVUN5c6Y4daiKxCH_1F5FqgRvMT6tj9Jj2l0cP7KCwce1m6eQRs8WsDNbyx24V6jnOXmoNuhXHpueeRU-kX-oDoD9wJnePmDcem0rmtTrft0E0aABEk4GxWSRXlS32P2ESZuHtlRtmspc5rpzyYQdayi20NaeKxBwtDKM&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=feBbU8jBULy1tARdlsnBCA%3D%3D&trk=flagship3_search_srp_jobs
19,Programmer Analyst,"                Spruce Technology, Inc.",SQL Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3801536638/?eBP=CwEAAAGM9QfCm-rV1MJDoIxGT_ypA1jLx8PY3n8-dUniCDcCGoVjpGWh-JR9xYCtOnFOpHjBzlaB3NMiaxxsEkTFn4JwedwbVqCNH2XqvyJXLo0wfpF87IGVkObjw5WWsWzM35ApOP3THbgHd5D9FKEZnH9lnGPmRFMWutNgZcZyXb5az0xPbDhG5esU2YSCTHcUJy98bcp6P60Jf55IXAkbumA7Ls2wXdsZSRGxIzKElCwjl9kAKyxnhNlkgjRkbdFGBodAP2Uq018_IGVA-j7X5C9Tr2BcMrxj4lg0jG_FsJN3CjX-HAkuX1oGgYLbJi6KKtYKu5tIRhnnovO0Zqazzg&refId=W1GdaTlzmRjrBmZcghh5Bw%3D%3D&trackingId=K79i9V6Ssu%2Fk7sK3hQeGkA%3D%3D&trk=flagship3_search_srp_jobs
24,Staff Cybersecurity Data Platform Engineer,                Adobe,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3767919834/?eBP=CwEAAAGM9QkKP4HUOtpoHNYmtRtGbpfI22D2p2lM6zDLIA8L8e4OfzFA7zlJNVmVerPHqBcxoKG9CDo1LIb1vuV4GbOFK7Dxq1JaWcx_IzQiqjLl9UJPJKUm3E2jaj2ITN2wAf5cxGIVohi4qucPnZKtDG3I1gpbV_BEOJuNaACNZCVI054EuiytVtHJseTmmzSrxzuumZi6JPSpU7NE2cdXNOPjwqJferhWjh3hrf4F3b-bNB9Yv4WJCyPtIibJkfCdwkxTILTwXG7hIK1dFuVLEG7AUTAmE40QhOM2FLHpKHGFu4V6Qe6bONYvfSCYGxdwuUnWX5l02r0Uz8shiBOprIi-nNkzStsHIGGYrYVlJKHqNrzXy0bCWdmoNo-vjG2fV5zC-X86vN8&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=voI%2FgRaR1iOH4%2FbBKhIDuA%3D%3D&trk=flagship3_search_srp_jobs
25,Tennis Data Scientist,                Swish Analytics,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3770155476/?eBP=CwEAAAGM9QiWuL5Buqy_fDTy3myFD4P6NtKJ5HMvNZ8ssqIHOuZmLix8P-9tgQ8Uup7fgti4flNuMB1WTSvJb_KnjxdLS25r1g_9PG4ij6kywc0WT35UWP9MiNkzpJeHBe9JFvOx-97btC3UzJ00HzNf13tm5-cUznYmKI1QpvDKoHRJkQQuI42Nux8TBPeNlGdAi2-ZyAI_dS6oOFykhvPLgoyvzWLxew0pgc2YsCAcap-wih_gmSsGuLkXSe1ZOGrXeW5n0zhO3lZ1MKcleoXssf6RdNZD-a5IORdm0DTo92zPh913QzjK3GgD9cfAYXw_ABDJaIQPUamQePSEqGkBAxcSSshh9ebNjFVRcQXmiSe-lfbqnImebF3LkKU66OTFMvEQeMPPgXg&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=6%2FK8TanVb96TlKY5M5Qo0g%3D%3D&trk=flagship3_search_srp_jobs
