,job_title,company,job_search,location,date_range,link
11,Patron Experience Associate (Part Time) - Conifer LibraryNEW!,Jefferson County,Data Engineer,"Conifer, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJJGWp7VpZpISBdcYpfzYMeRNW6VIaLrFJqwTy3MW5UGfaZIKh4FQucLNZbiDXWuhyWMiPOASvvuaGvU6VzGsM-lzpN_Mh16ngEbn_W582n6-51WZll_E3n_Oxa8X0JxOp5XH-3SPJARYh4qm9kfqsZ9Z7zHArAz4XVw9bJq6ztmJLUlSUrcxkvg9fNipV144jCea0D6jTJMc0DZGSQhKg
12,RF Engineer INEW!,Signature Consultants,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIX8ZjK_d-O4H4zANbHPHOKAHmvHpPspf4z0ryaSSutAGGz2ltvyPWFCEo4SVvpH7qgwiPp4cxPAXfakPE1xYypQ6klmSOlCvYfW3G8GDzOrFfTkVeiI1y1uka45YE8Oy5WT560aOlWgsmbhIaW4Somt91ZXKXtD-VXUqSVxjwB4I2nyWRnDhzqsXJUyMjE4tpyiszv_oolhoRbqKoxbQ
14,Software Engineer - Mobility dot netNEW!,"Woolpert, Inc.",Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKoevy4Fe0UGZRHTOAbgzjtNO7R1VQFW5Rq76WpuPXa6HqsnJGnU-l6JXw_cOz9tcL6Ipr0wKLhIVDBaNEWAAyTWB-GeB4AXmfNE292VUbuwkJvOHK7sS-tbnrxtuaznOg3ZRbtjMux5Kb83A9KXGUQCkw5Lym_Nnhda1lSjWY8RkWIAukAYHIXEvJZHwXnw7Id0N0GBrBSAVV3LaGc6A
15,Software Engineer INEW!,Kratos Defense,Data Engineer,"Colorado Springs, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJsZ9MS3OOkUGoSYk8UbSSgr8Z-j51VyJSO-wI_aNIkefWwrArSjus6ZNMH_ordjmlmYJMVZ-lGmhjeZGhe7bSrmWa6_9niTkyaB6z40C0F_SQx8Yi-SfE6u6R4HV9T2Hewo1LYrUCunkDDsZ5DED_3SihyWgOmIa2l5Jt6MTkSAurwg4fYtikQIIRlrj2mcgfsY05CS1MonnDsR5mylWo
16,Sr. Infrastructure Engineer I LinuxNEW!,Entegee,Data Engineer,"80011, CO",within_1_day,https://www.ziprecruiter.com/k/l/AALE5KxFUl48bi5_PTV2c7wUdogVoybhFTI1IvDfNdU43wC30Fm5KSbkGVAnD4SQEDUMtOUew-C4FqkmE3vumpF4xihE9zBKa1eYLkaXtx7Bsmp87MQd50RmARxE-TVpUIPRqvRfNZswDWsW1XcoNktLFILSKtxarqBm-lE62YLCqCR2mo-lGSgJlCK_dc6xBbvaHHpeqzGGaIe-gUw2TQ
17,Sr. Infrastructure Engineer I NetworkNEW!,Entegee,Data Engineer,"80011, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJilJ35R7TzZhQaablo0AXYwb8I892ty7J6831y-2POEFONKxtFUvkbNpNbLe5y8RyS7SYtmrMGykHBWN0ve0OvSvTG7DvIFkWULUFN4qzStRHtc-gZTyrXMh9Y4NVx62PEx5vBA-iNOOrMUxEWM9DJZ3QpT-6DkK2_wY1mYEpvoTlD_O274I27LcUrwio4ala7dQRbKCg_c-PAo712-Q
18,Tech Lead TECHM-JOB-29616NEW!,Keylent,SQL AnalystData AnalystData Engineer,"Broomfield, COBroomfield, COBroomfield, CO",within_1_daywithin_1_daywithin_1_day,https://www.ziprecruiter.com/k/l/AAL54Q2sitl0P0aiJ8N4MYgofk5M662F1YJyHCWsKdhI7udEpM_L8roZDKez0O70JDiiZt44YbRPFMc-LRcSdeulj4XmAuVDS6pspQo5RnkcPtk3YWcTBvu8h_W6vSpLx_KnfGDRyA_Q0ISr7kxv6HWv80Eyc7S_vZkfS1rU3VL-PkGsjaG6KcEBnEVZJn5p25MrbS8vR2zVTojzO8bU0whttps://www.ziprecruiter.com/k/l/AAJx1VuSymUTKZyst74gAxicrMOdy5FPJFMwXlJAAtHZwt-2dY2NCAtridjXEohNfnJgrJwHbgP-hEHU7yGsA-XxtmwDQ0h6T2R_Yj8JOMdZH_mFlM8qJrHbSumn52Rk6A7j4ID9nP3h-cNJqNZSIr5UugEBGarGnnKEAuzmfwN6AId24siOVnsAtkI9Ad2lhWac8-aryn_tSfvkf3WdGAhttps://www.ziprecruiter.com/k/l/AAKRRQe9cZ4cadsWEaqbuXKILcfh1Z0s4MSoVxYnMX7fTOswkyrCZmses_vjh3LhYb5tsOs-nRQJqMS4LJoGixjP17qhHvWL6OrVjJCL2sY_Kb9mCiGThkNnESb1S8MyOEX5fywgMkg2dglc-cgU6XJbidPLUlX7ZgL7_OPJYIzqo1lB4bv-tRC3LbRi1i-_AAhEhu7aJ52MEhzETTPE42g
19,Technical Editor / Admin Support ( Remote )NEW!,"Landmark Environmental, Inc.",Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAI0AMLY2cYD6n4hzJqwZBHaUoTtNuD7MGnNY8xLeEzIluFz1y9Z-PXG5Wls5S2bgo9sdSyuNkSe6Fqp13pmuYfteEaWh-vUeixR52Oo221HT_WMD6I1zvW5g8tgE_mpuLIgtaKj5SqC0nDuqcIWTMbJfU3MojoD3rkCEzhLgiHAvcQ5otumAQQaYIC4uxiUDN4J9FQ57JPyv9x8U2orn7iAdSJnS3OURYi9sw
20,Tutors for Kindergarten - 3rd GradeNEW!,PRACTICE Benefit Corp,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKRvhA8fFStw4x6dLr13_fHebq9AZklPweaPL7CqTGUpzWjRXGSWgg39PcjVPzypP4PvW8mjISCf08_mtabXs-QlwReTggHAbudj-gh3VFYI-xpG2hPVE9bZkPdb5evBw32C_kphbLCVceqwFiV2Sq6zzlg3ypFgw4IqLxrTv0VZ3UTEON-Rhj4M3Bwe-091tFyTAmOsvge7yw4v-YgC04
21,"Urgent Job Opening - Splunk Developer - Washington DC or Denver, CO or Charlotte, NC - Onsite - OnlyNEW!",Lorven technologies,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKSR0mvvZoBpKOt_N7axC5IzqeiCgHBBtO1NQlukoEZ5ClQh8YisM2_CDW08ilGQwmzlw7zzFPJUhxX5sm0TGC_dm4gD8_E-s_HEo2qCW_pnLMSAIe5WvkyTt9B7JQnUksrlItDw8T_K0MN4N7tWYuwPw7UM3LGt1FothED3EJEVMOSS3aV4N85Cfr9xXyzYcGn-KjbTrCyb8r4v0fV4Q
