,job_title,company,job_search,location,date_range,link
0,"AWS databricks, Pyspark Python DeveloperNEW!",Siri InfoSolutions Inc,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJbdCdGDj5sa8CoRmQ-sD-D_Y5uVojJ8WQGi0SEe67-VMU8zYw6VD4qwNQyXOz1TdL3jaSnsiCwZMFA3TOkp9ny0dCf3xS-m_J6ZiXpszRHzaZSWq8Or9GhOPFF77mwLO_gFFuV8pDj-gtlxAXXY-AZFJM-IGCrC8ub2wRSKickKYbe8IjlUPPnxqsN1UZujo5SVHneK_DGqATcGhX8IA
1,Alliance AnalystNEW!,Amar AI Ranking,SQL AnalystData AnalystData Engineer,"Littleton, COLittleton, COLittleton, CO",within_1_daywithin_1_daywithin_1_day,https://www.ziprecruiter.com/k/l/AAIhCNzOCTsYCwi8NQ3sGnEBJqFtvReVVpe82LOWOjrJSnkmpm9HlbztLUbIsR26IWUCMeGMT79XaXPAhwFvVOhH0lVpMKJ1gAKRnRWCM2iBtwbQs9_ZDvpJ6o4FIOxRalUkm4DwSBGE4Zl6hMKJ_JmW2si-I_3xV2nSnkf_0zlXtV6sw_sj6-H8N-GemR6MUVgbOwWZCHmyAJ40A9cW1whttps://www.ziprecruiter.com/k/l/AALADsYXYm-qW2SB0e-If3HlyYYC5L4_3vnUG6FzqYM75AeBwNUUldStFJrfJJqVIem-CkMS5lZ8OnN4EdsFAoCwaF4cvE4cVzjy1zgsIkkalJRGDkcGwMs-OX_rMBMCwpRNB5JGs_iN_Xb5SzqIz0roN5f5ziZ9Gqny-MfWfTJGvRBsOfys29QgM7UBDJFwgYPAP8R2kvJmAR31-BzWhttps://www.ziprecruiter.com/k/l/AAL3j1wTVWMY94AhdjYK-oE57ci9vKMs2w6roxzGAjxVPG-lWhoKoOGdeKa1zvjnyUzeR_rpaHOYfHnqzuhcp9blcg9VTdGlj9DQfJQY1ZdAPIyG34hPtpAWIFSG67nlsHTJ4d4gsfdOXjA592KFn3b1SPMLHPhuRLuIG60NKYeykbuKaDwLaGUW2LC3bawY8rXYr8NdIIRnz9o4h2GoqMk
2,Application Analyst II Power Platform and M365NEW!,RES,SQL Analyst,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJwyNL65IbhgdQ2jV5JlVKOmUBmFsLYyGawxrLXhq5AMBROixCiKmLCXYQlvFuHH_yQGz-kyKoodsNGDBb141uEF_2Pnbil4cUAGL33DR0vRynAMALjILdLCe36rPziKv7BAmzI9Sb10R6IHXb2r1d4XEogH0gJ3BErJ9x_piJS2yUdl45wqep1swEoGA51UyP51HlRh5OigsaklAkspw
3,Business Operations Analyst IINEW!,DISH,SQL AnalystSQL AnalystSQL AnalystData AnalystData AnalystData Analyst,"Denver, COLittleton, COColorado Springs, COLittleton, CODenver, COColorado Springs, CO",within_1_daywithin_1_daywithin_1_daywithin_1_daywithin_1_daywithin_1_day,https://www.ziprecruiter.com/k/l/AALiVrV5_KHb8PPqnXA5bbkFTBiFiXDhhvAYzat0M_1h5SZeyFXrDip7G2FhQ_2LAg0a3UP3KhO1xNu7f6yK-fBEwndA4vNtPV6-705oAeWVKcFyLgmOzNvg3g6ZIr4zlWV8z06Agom8LwWkL9oT8KgUfh6o3XhGnqLqDatToZTpvCnCjTucxbvIZwLWG7m_MN8WCZseUz-htYkmGZ02qelXOfJhakiqAXubhttps://www.ziprecruiter.com/k/l/AAIqqeswq-SFlRWyJhjGw3bROBr-54gu4OEKjrHtU7Qv4DtE-i-pLld_7UNCO_heXOHS0u5Xlx1aKpN5gBFRjp_n0LMxlNfrmVWhGb4pd3hUZFKC2B2dHybhYUe5yTFeBQ8hXmaVfXboB4n5uyb6THbw9iJb7aX90agPWqXCvZ2VJyElBhTzp0hpZXACfX6FkiiprbBoAeHP_2kCps4Q7N48jWrkZalgjzSRhttps://www.ziprecruiter.com/k/l/AALj6N6NBkqHIHbDyhm_Bw8XvtDnPcJ9s_oJe5wd-iWmpk5hP8c1QRe0T8YQDUedTQ-0pn3ZZYG_EdLbojvsmDJAinMY8mvEgCq_IW2f2WHwA7sH7iYxOrcfAv2r8Xyn5JW-EN-odsvf3j6j5ijan5EYaE1kCWX-bvz3s5nweLVLrjwEWC-ir-Cw-2uN3J8QgEwWLruGoJ5oTdrUskUzWptjIE1utK9E_6sehttps://www.ziprecruiter.com/k/l/AAIBzAfoSejSlbVrIy04_XQCvyoG_1vA6EGBrkIVTfp216CgPVGAiCFyG8vHIypzl7NWnWAgoLfyXE42ov9gRHYZ-FASpTvNCuL60sZxImfl-yvVWcKotaOjayM3btp5b_ev11fnwRW1ggUN94iD6osoKG_P3psD8-e3nXQzHnSOka5vhuCFzRTMlel8KWwqiaOuWDQBxWlVZIXqGG1arG5movcZikzBUsghttps://www.ziprecruiter.com/k/l/AAIDMXB4lwXXaUKKZf4ODPEDD8TxJk0VZxivv6BsBX8Ph1QFJa8KGlcOODI0cQnWzamJsZYCX_4Gg_eNyfyT7UgEka--qKCn5rOxM7GfQkf8kEanw0yQTht8tULNEy8nWLvPWsyeAQLbuW_LIH8cDHErphIcAA1_LxipFx-nl7wLxXtOPMwh7rgG14FJVA6MOObD4R7mjAAoU1-ztjFCgaevs_kImH_RCnohttps://www.ziprecruiter.com/k/l/AALhqVswmxd5oW6teeXIODi_gDUmXF22xk-KTDF02BjErb9i4VkwFSKvvaEozlTi-LrFL1RDlguR8kX95Pj3VJs3FHk9by4FpI7xrFGxLUWMPWKRtRGfla24O37tulVbxGSz6Xv_9vHl8AJwG7of1bSI4W5v1t4KT1tH8qqvh-HjN1ENB3dtIx9jxx__4j3gh7InmC6ADiJf84e8DhzMKxULl9AdCuUG8nQ
4,"CO-OP, EngineeringNEW!",Nutrien,Data Engineer,"Loveland, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJk1OxIqI3JSo_EDNYdf9NHKdyUmx5N7OlFxZZYLZmc9-2qhsldcNBOfNA2epahCpBiR5fpL1X8d01WSNKPnvsm8K9k-Pb7hLrvGQvAS7gyAuxye7O1lqR0uQMHMwBXzhMhJSn04zPeRMbrPUE4mbvLxOJxvWqI9NM5Zr1QFpJqLv2oND_vIEnsPWnd3zCKwSXPIQNI-upDfNOhmPfk_XU
5,Cloud Enablement Services EngineerNEW!,Empower,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/ek/l/AAKxuYOHSxIUcyjXbV2XXQBLlcuoX0stEk7l4O6Ka6c7RDFrPq23VHfkKTTKzL2OforyUoaMD8U22xtIrmCsCStgjAIqxD4pkPGgk5K-rN5aTNwivsIvNf_KVlEt_mlW8rva-rWGojifSRNNNv36U9RT8E9gaFJ1PU2aQYAZeaCf5CtGWKQ4BXJPv48dt9WLMEbkw-vZ4ne5Jg7WaPuoh4UjJoZdrYit2HR5
6,Director of EngineeringNEW!,Redwire Space,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJNXFljDLc50kP3ll5Ov2L5fP9AVH0J0WS4CtdlW7f5VF7rHbm89bgPjZoKetfwJOBffTqp6f9UY8S6n1Ot9FC4GfKQvvCj-nK0F3qEeOSBW57uEFi2SfD84VUJ3Bm8VVgkts3taLoZqH2W0VZ_ENixZ_wZEnFWKJWDlfB91ALvZGDWUXB7Ov-JMwa5i-k3cnf3zOBjlO46Z0gq3yPYtdo
7,Distribution Engineer- Kiewit Power DeliveryNEW!,Kiewit Corporation,Data Engineer,"Lone Tree, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKY1v2fVkSmZLcReS_7ceEG0XCwOJMQEE-HkxG8WN2lJFHK64nRUB9wUlFLKDJGMq76LKhbe6xyJAOxojxBB_bD9OIvoR_o3c5KkgHQORZ7IMn9m4gOV34jSxPKB7Sd7dEzE4Om3fiWPtv5OJhq0cJoTj0cUY1Z5dUCpewdD-EsKVO5_7hdRqD8i2TiN0CMmQbvihhtvLf-UaC-jqkVd-s
8,ETL Data ArchitectNEW!,Ajna Infotech,SQL AnalystData Engineer,"Denver, CODenver, CO",within_1_daywithin_1_day,https://www.ziprecruiter.com/k/l/AAI6lopMpxjxDJpuPv5SCOzG036D8T3s-_o3fnUVEDx36LJAJt5z_N77RhrghWnwSlngW7CvX4mW0c3LrttJ4_BUhEuMAwWQVS0iQrGdyaNF6Dp0EM7zti2-ZzY0NwGkWXImiJuqK2M2WPLS4FwKCpo9VyU0rcf4Ib266HSykD5egH-VwxDkCc3QYNA2fsWRLRYlAvNl6PF4mZYo8uPt1AQhttps://www.ziprecruiter.com/k/l/AAJ09uvxOHw5k3uA8Bsqc9nbOGGN_b3qp75A8Nz5eB774Jpfx_KHkEn1Py6v_nLfLwO6xYgJjPm4K7Zasj_uNAe5FVJ9w4Cg74GSLRaStkfKC3wRhjXXztcKZwQVp5NV3Xz-ThfVTmCu_LGsza62_C-fAwGgJZoqJgEzmcqPsN61aLl4OJx2P_pG7EXv2oJucptCYIRwbqlxrX3bqreRGw
9,"Engineering Technician I - Westminster, CONEW!",Veteran Jobs - 2023 Mar 01 - Veterans Resources,Data Engineer,"Westminster, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJCcbHgEH359Eqk1msmJmmUSOenFfelgrROc0L5nFDHIztMN8UxsJDhUZDFGo0oNumB8XR9b0U5We4P0M3yzDD2yGeuFnvdRpKnUDs3euMv55il-r5EG961a8FJIt1k9BT9RgCc2gBCvIV2En3FvHjZnO3aHePChop4rFAHVAbk6231RU_7-LuzK_g4nEugZB94D8hUn0dC_Ao36UqADNw
