,job_title,company,description
0, Actimize Developer , Talent Group ,"We are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with Acti"
1, Actimize Software Engineer -Offshore - INDIA -PUNE  OR REMOTE ( 1.30 AM IST) - Local , Kavyos Consulting Inc ,"Location: INDIA -PUNE OR REMOTE ( EST time zone or at least till 3 PM EST OR 1.30 AM IST) ( EST time zone or at least till 3 PM EST OR 1.30 AM IST) Salaried Fulltime Position  Must Have Actimize Experience  It s implementer position, customizing and configuring Actimize software. Responsibilities Determines technical feasibility by evaluating requirements and analysis as well as proposed solutions.Prepares and installs solutions by determining and designing system specifications, standards and p"
2, Adobe AEM Lead Developer , NEELBLUE TECHNOLOGY CONSULTING INC. ,"Only Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM iOnly Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM iOnly Those authorized to work in the United States without sponsorship are encouraged to apply. and Citizen Apply for the job Detailed Description The Lead AEM Developer will be responsible for, but not limited to: Serve as primary in-house expert on AEM to develop best architectural solutions and be able to effectively communicate AEM considerations to factor when developing requirements. Manage the technical delivery of custom development, integrations, and data definition elements of an AEM i"
3, Agilist Lead Consultant ," NTT DATA Americas, Inc ","Company Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product Own"
4, Business Systems Analyst (Workday Implementation) ," Computer Enterprises, Inc. ","CEI s innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 90% of the time or more), but there may be times when we CEI s innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 90% of the time or more), but there may be times when we CEI s innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 90% of the time or more), but there may be times when we "
5, Cloud Solutions Architect , Honu Services ,"Location: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's bLocation: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's bLocation: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's b"
6, Engineer 2 - Systems , Programmer Resources International Inc (PRI Inc.) ,"As an Engineer 2 you will be responsible for using your technical knowledge of professional concepts to solve business problems. We are looking for a talented individual that can serve as a subject matter expert in their area of focus and represent their department on complex assignments. You will be responsible for evaluating elements of technology's effectiveness through requirements gathering, testing, research and investigation and make recommendations for improvements that result in increasAs an Engineer 2 you will be responsible for using your technical knowledge of professional concepts to solve business problems. We are looking for a talented individual that can serve as a subject matter expert in their area of focus and represent their department on complex assignments. You will be responsible for evaluating elements of technology's effectiveness through requirements gathering, testing, research and investigation and make recommendations for improvements that result in increasAs an Engineer 2 you will be responsible for using your technical knowledge of professional concepts to solve business problems. We are looking for a talented individual that can serve as a subject matter expert in their area of focus and represent their department on complex assignments. You will be responsible for evaluating elements of technology's effectiveness through requirements gathering, testing, research and investigation and make recommendations for improvements that result in increas"
7, IT Business Analyst - Data & Analytics , INSPYR Solutions ,"Title: IT Business Analyst - Data & Analytics Location: Remote Duration: 6 months to start Compensation- $75- $85/hr  Work Requirements: , Holders or Authorized to Work in the USQualifications: Education: Bachelor's degree or equivalent experience. Experience: 3-5+ years.  Skills: Strong analytical and problem-solving skills. Excellent communication and collaboration abilities. Detail-oriented with a focus on accuracy. Ability to prioritize and manage multiple tasks in a fast-paced environment. Title: IT Business Analyst - Data & Analytics Location: Remote Duration: 6 months to start Compensation- $75- $85/hr  Work Requirements: , Holders or Authorized to Work in the USQualifications: Education: Bachelor's degree or equivalent experience. Experience: 3-5+ years.  Skills: Strong analytical and problem-solving skills. Excellent communication and collaboration abilities. Detail-oriented with a focus on accuracy. Ability to prioritize and manage multiple tasks in a fast-paced environment. Title: IT Business Analyst - Data & Analytics Location: Remote Duration: 6 months to start Compensation- $75- $85/hr  Work Requirements: , Holders or Authorized to Work in the USQualifications: Education: Bachelor's degree or equivalent experience. Experience: 3-5+ years.  Skills: Strong analytical and problem-solving skills. Excellent communication and collaboration abilities. Detail-oriented with a focus on accuracy. Ability to prioritize and manage multiple tasks in a fast-paced environment. Title: IT Business Analyst - Data & Analytics Location: Remote Duration: 6 months to start Compensation- $75- $85/hr  Work Requirements: , Holders or Authorized to Work in the USQualifications: Education: Bachelor's degree or equivalent experience. Experience: 3-5+ years.  Skills: Strong analytical and problem-solving skills. Excellent communication and collaboration abilities. Detail-oriented with a focus on accuracy. Ability to prioritize and manage multiple tasks in a fast-paced environment. "
8, Junior AWS Engineer ," York Solutions, LLC ","Required Experience:  - Must have core AWS skills.  -Kubernetes is a nice to have  -PCF is a nice to have Job Description: Good understanding of the AWS Services Good Understanding and troubleshooting experience with  the container technologies (Kubernetes/Docker) Build and deployment automation using one or more platforms such as Jenkins, Concourse etc. Experience in an Agile and DevOps practices. Champion Agile best-practices, processes, and tools in support of DevOps processes Experience deveRequired Experience:  - Must have core AWS skills.  -Kubernetes is a nice to have  -PCF is a nice to have Job Description: Good understanding of the AWS Services Good Understanding and troubleshooting experience with  the container technologies (Kubernetes/Docker) Build and deployment automation using one or more platforms such as Jenkins, Concourse etc. Experience in an Agile and DevOps practices. Champion Agile best-practices, processes, and tools in support of DevOps processes Experience deveRequired Experience:  - Must have core AWS skills.  -Kubernetes is a nice to have  -PCF is a nice to have Job Description: Good understanding of the AWS Services Good Understanding and troubleshooting experience with  the container technologies (Kubernetes/Docker) Build and deployment automation using one or more platforms such as Jenkins, Concourse etc. Experience in an Agile and DevOps practices. Champion Agile best-practices, processes, and tools in support of DevOps processes Experience deve"
9, Kofax Developer , Techgene Solutions LLC ,"Position: Kofax Developer  Duration: 12-month contract (Remote)  Location: Atlanta, Nashville, Charlotte, or Alabama Job Description:  Join our client, a leader in the Financial/Banking industry, and contribute to a significant Banking and Finance project. Your role will involve building custom forms to enhance business workflows and manage data and document handling efficiently. Required Skills:  5+ years of experience in Kofax  Proficiency in SQL Complex Queries  Knowledge in C#/VB Scripting  Position: Kofax Developer  Duration: 12-month contract (Remote)  Location: Atlanta, Nashville, Charlotte, or Alabama Job Description:  Join our client, a leader in the Financial/Banking industry, and contribute to a significant Banking and Finance project. Your role will involve building custom forms to enhance business workflows and manage data and document handling efficiently. Required Skills:  5+ years of experience in Kofax  Proficiency in SQL Complex Queries  Knowledge in C#/VB Scripting  Position: Kofax Developer  Duration: 12-month contract (Remote)  Location: Atlanta, Nashville, Charlotte, or Alabama Job Description:  Join our client, a leader in the Financial/Banking industry, and contribute to a significant Banking and Finance project. Your role will involve building custom forms to enhance business workflows and manage data and document handling efficiently. Required Skills:  5+ years of experience in Kofax  Proficiency in SQL Complex Queries  Knowledge in C#/VB Scripting  Position: Kofax Developer  Duration: 12-month contract (Remote)  Location: Atlanta, Nashville, Charlotte, or Alabama Job Description:  Join our client, a leader in the Financial/Banking industry, and contribute to a significant Banking and Finance project. Your role will involve building custom forms to enhance business workflows and manage data and document handling efficiently. Required Skills:  5+ years of experience in Kofax  Proficiency in SQL Complex Queries  Knowledge in C#/VB Scripting  "
