,job_title,company,location,job_search,date_range
0,CIRES/NOAA PSL Land Data Assimilation Research Scientist or Post-Doctoral Associate,University of Colorado Boulder,"Hybrid remote in Boulder, CO 80305",Data Scientist,0.0
1,Computer Data Analyst - Must be in Lakewood/Denver CO,Clear Global Solutions LLC,"Lakewood, CO",SQL Analyst,0.0
2,Risk Quantitative Asst Analyst ANL539,Xcel Energy,"Denver, CO 80202 (Union Station area)",SQL Analyst,0.0
3,Salesforce Business Intelligence Analyst,Armstrong Receivable Management,"Greenwood Village, CO",SQL Analyst,0.0
5,Staff Data Solutions Engineer,"Findhelp, A Public Benefit Corporation","Denver, CO",Data Engineer,0.0
